開放閩南語字典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［閩南語拼音］	［閩南語拼音 (數字調號)］
魍	魍	bóng	bong2
幪	幪	bóng	bong2
菵	菵	bóng	bong2
莽	莽	bóng	bong2
邙	邙	bòng	bong3
饛	饛	bông	bong5
罞	罞	bông	bong5
蠓	蠓	bông	bong5
亡	亡	bông	bong5
硭	硭	bông	bong5
艨	艨	bông	bong5
忘	忘	bông	bong5
茫	茫	bông	bong5
莔	莔	bông	bong5
望	望	bông	bong5
朦	朦	bông	bong5
芒	芒	bông	bong5
螂	螂	bông	bong5
蒙	蒙	bông	bong5
幪	幪	bông	bong5
雺	雺	bông	bong5
甿	甿	bông	bong5
檬	檬	bông	bong5
汒	汒	bông	bong5
杗	杗	bông	bong5
礞	礞	bông	bong5
鄳	鄳	bông	bong5
鋩	铓	bông	bong5
盲	盲	bông	bong5
矇	蒙	bông	bong5
蘉	蘉	bông	bong5
忙	忙	bông	bong5
鸏	鹲	bông	bong5
曚	曚	bông	bong5
濛	蒙	bông	bong5
妄	妄	bōng	bong7
望	望	bōng	bong7
夢	梦	bōng	bong7
朢	朢	bōng	bong7
甍	甍	bōng	bong7
懵	懵	bōng	bong7
墓	墓	bōng	bong7
丘	丘	bó·	bou2
姆	姆	bó·	bou2
畝	亩	bó·	bou2
某	某	bó·	bou2
母	母	bó·	bou2
姥	姥	bó·	bou2
呆	呆	bó·	bou2
妻	妻	bó·	bou2
牡	牡	bó·	bou2
拇	拇	bó·	bou2
婦	妇	bó·	bou2
嫫	嫫	bò·	bou3
蝥	蝥	bô·	bou5
蛑	蛑	bô·	bou5
謀	谋	bô·	bou5
侔	侔	bô·	bou5
謨	谟	bô·	bou5
髳	髳	bô·	bou5
漠	漠	bô·	bou5
蟆	蟆	bô·	bou5
眸	眸	bô·	bou5
牟	牟	bô·	bou5
膜	膜	bô·	bou5
鍪	鍪	bô·	bou5
麰	麰	bô·	bou5
摹	摹	bô·	bou5
毋	毋	bô·	bou5
摸	摸	bô·	bou5
模	模	bô·	bou5
譕	譕	bô·	bou5
候	候	bō·	bou7
幕	幕	bō·	bou7
莫	莫	bō·	bou7
鄮	鄮	bō·	bou7
幙	幙	bō·	bou7
瞀	瞀	bō·	bou7
袤	袤	bō·	bou7
慔	慔	bō·	bou7
貿	贸	bō·	bou7
募	募	bō·	bou7
楙	楙	bō·	bou7
墓	墓	bō·	bou7
茂	茂	bō·	bou7
懋	懋	bō·	bou7
慕	慕	bō·	bou7
戊	戊	bō·	bou7
摹	摹	bō·	bou7
母	母	bú	bu2
嫵	妩	bú	bu2
憮	怃	bú	bu2
撫	抚	bú	bu2
牡	牡	bú	bu2
拇	拇	bú	bu2
橆	橆	bú	bu2
膴	膴	bú	bu2
侮	侮	bú	bu2
碔	碔	bú	bu2
武	武	bú	bu2
鵡	鹉	bú	bu2
潕	潕	bú	bu2
毋	毋	bú	bu2
甒	甒	bú	bu2
舞	舞	bú	bu2
廡	庑	bú	bu2
橆	橆	bû	bu5
毋	毋	bû	bu5
無	无	bû	bu5
旡	旡	bû	bu5
幠	幠	bû	bu5
蕪	芜	bû	bu5
誣	诬	bû	bu5
譕	譕	bû	bu5
憮	怃	bû	bu5
巫	巫	bû	bu5
廡	庑	bû	bu5
蓩	蓩	bū	bu7
矇	蒙	bū	bu7
噴	喷	bū	bu7
鶩	鹜	bū	bu7
婺	婺	bū	bu7
霧	雾	bū	bu7
務	务	bū	bu7
騖	骛	bū	bu7
雺	雺	bū	bu7
歕	歕	bū	bu7
微	微	bui	bui
呡	呡	bún	bun2
暪	暪	bún	bun2
捫	扪	bún	bun2
吻	吻	bún	bun2
刎	刎	bún	bun2
歾	歾	bún	bun2
蚊	蚊	bún	bun2
抆	抆	bún	bun2
蚊	蚊	bùn	bun3
穈	穈	bûn	bun5
玟	玟	bûn	bun5
魰	魰	bûn	bun5
亹	亹	bûn	bun5
雯	雯	bûn	bun5
們	们	bûn	bun5
旻	旻	bûn	bun5
閔	闵	bûn	bun5
閺	閺	bûn	bun5
璊	璊	bûn	bun5
捫	扪	bûn	bun5
文	文	bûn	bun5
閿	阌	bûn	bun5
門	门	bûn	bun5
紋	纹	bûn	bun5
汶	汶	bûn	bun5
聞	闻	bûn	bun5
閺	閺	būn	bun7
絻	絻	būn	bun7
們	们	būn	bun7
悶	闷	būn	bun7
璺	璺	būn	bun7
紊	紊	būn	bun7
問	问	būn	bun7
蝒	蝒	būn	bun7
殙	殙	būn	bun7
汶	汶	būn	bun7
抆	抆	būn	bun7
免	免	būn	bun7
閿	阌	būn	bun7
文	文	būn	bun7
聞	闻	būn	bun7
分	分	būn	bun7
懣	懑	būn	bun7
咱	咱	cha	cha
溠	溠	cha	cha
齇	齇	cha	cha
查	查	cha	cha
楂	楂	cha	cha
抯	抯	cha	cha
喳	喳	cha	cha
皻	皻	cha	cha
謯	謯	cha	cha
挓	挓	cha	cha
樝	樝	cha	cha
柤	柤	cha	cha
蹅	蹅	cha	cha
槎	槎	cha	cha
昨	昨	cha	cha
渣	渣	cha	cha
早	早	chá	cha2
怍	怍	chà	cha3
詐	诈	chà	cha3
祚	祚	chà	cha3
榨	榨	chà	cha3
鮓	鲊	chà	cha3
咋	咋	chà	cha3
醡	醡	chà	cha3
乍	乍	chà	cha3
痄	痄	chà	cha3
厏	厏	chà	cha3
苲	苲	chà	cha3
乍	乍	chā	cha7
蚱	蚱	chā	cha7
鮓	鲊	chā	cha7
昨	昨	chā	cha7
賳	賳	chai	chai
嚌	哜	chai	chai
菑	菑	chai	chai
齋	斋	chai	chai
災	灾	chai	chai
巀	巀	chai	chai
擠	挤	chai	chai
哉	哉	chai	chai
栽	栽	chai	chai
才	才	chai	chai
齊	齐	chai	chai
知	知	chai	chai
滓	滓	chái	chai2
債	债	chài	chai3
載	载	chài	chai3
哉	哉	chài	chai3
榨	榨	chài	chai3
再	再	chài	chai3
材	材	châi	chai5
裁	裁	châi	chai5
才	才	châi	chai5
財	财	châi	chai5
臍	脐	châi	chai5
廌	廌	chāi	chai7
豸	豸	chāi	chai7
載	载	chāi	chai7
財	财	chāi	chai7
在	在	chāi	chai7
縡	縡	cháiⁿ	chainn2
笫	笫	cháiⁿ	chainn2
宰	宰	cháiⁿ	chainn2
崽	崽	cháiⁿ	chainn2
怎	怎	cháiⁿ	chainn2
儦	儦	cháiⁿ	chainn2
滓	滓	cháiⁿ	chainn2
載	载	cháiⁿ	chainn2
胏	胏	cháiⁿ	chainn2
指	指	cháiⁿ	chainn2
簪	簪	cham	cham
臢	臜	cham	cham
喒	喒	cham	cham
寁	寁	chám	cham2
昝	昝	chám	cham2
斬	斩	chám	cham2
噆	噆	chám	cham2
喒	喒	chám	cham2
蘸	蘸	chàm	cham3
巉	巉	châm	cham5
槧	椠	chām	cham7
塹	堑	chām	cham7
鏨	錾	chām	cham7
詀	詀	chām	cham7
斬	斩	chām	cham7
賺	赚	chām	cham7
站	站	chām	cham7
罾	罾	chan	chan
曾	曾	chan	chan
醆	醆	chán	chan2
琖	琖	chán	chan2
盞	盏	chán	chan2
儹	儹	chán	chan2
囋	囋	chàn	chan3
酇	酂	chàn	chan3
躦	躜	chàn	chan3
禶	禶	chàn	chan3
層	层	chàn	chan3
攢	攒	chàn	chan3
棧	栈	chàn	chan3
瓚	瓒	chàn	chan3
贊	赞	chàn	chan3
灒	灒	chàn	chan3
站	站	chàn	chan3
纘	缵	chàn	chan3
揝	揝	chàn	chan3
讚	讚	chàn	chan3
殘	残	chân	chan5
刺	刺	chân	chan5
戔	戋	chân	chan5
層	层	chân	chan5
贊	赞	chān	chan7
騣	騣	chang	chang
鬃	鬃	chang	chang
棕	棕	chang	chang
艐	艐	chang	chang
鬃	鬃	cháng	chang2
總	总	cháng	chang2
綜	综	chàng	chang3
粽	粽	chàng	chang3
藂	藂	châng	chang5
欉	欉	châng	chang5
叢	丛	châng	chang5
斬	斩	cháⁿ	chann2
整	整	cháⁿ	chann2
十	十	cha̍p	chap8
燋	燋	chau	chau
糟	糟	chau	chau
焦	焦	chau	chau
蹧	蹧	chau	chau
走	走	cháu	chau2
草	草	cháu	chau2
笊	笊	cháu	chau2
蚤	蚤	cháu	chau2
蚧	蚧	cháu	chau2
奏	奏	chàu	chau3
灶	灶	chàu	chau3
剿	剿	châu	chau5
窲	窲	châu	chau5
漅	漅	châu	chau5
轈	轈	châu	chau5
巢	巢	châu	chau5
勦	勦	châu	chau5
找	找	chāu	chau7
櫂	櫂	chāu	chau7
掉	掉	chāu	chau7
桌	桌	chāu	chau7
棹	棹	chāu	chau7
淖	淖	chāu	chau7
懠	懠	che	che
劑	剂	che	che
掣	掣	che	che
查	查	che	che
隮	隮	che	che
擠	挤	che	che
儕	侪	che	che
躋	跻	che	che
櫅	櫅	che	che
虀	虀	che	che
齎	赍	che	che
齏	齑	che	che
臍	脐	che	che
渣	渣	che	che
這	这	che	che
癠	癠	ché	che2
濟	济	ché	che2
鱭	鲚	ché	che2
薺	荠	ché	che2
擠	挤	ché	che2
姊	姊	ché	che2
這	这	ché	che2
泲	泲	ché	che2
穄	穄	chè	che3
債	债	chè	che3
隮	隮	chè	che3
瘵	瘵	chè	che3
擠	挤	chè	che3
穧	穧	chè	che3
際	际	chè	che3
躋	跻	chè	che3
制	制	chè	che3
簀	箦	chè	che3
霽	霁	chè	che3
漈	漈	chè	che3
緻	致	chè	che3
歲	岁	chè	che3
晢	晢	chè	che3
製	制	chè	che3
祭	祭	chè	che3
濟	济	chè	che3
櫅	櫅	chê	che5
嚌	哜	chê	che5
臍	脐	chê	che5
齊	齐	chê	che5
懠	懠	chê	che5
癠	癠	chê	che5
艩	艩	chê	che5
蠐	蛴	chê	che5
坐	坐	chē	che7
睡	睡	chē	che7
砦	砦	chē	che7
罪	罪	chē	che7
寨	寨	chē	che7
磳	磳	cheng	cheng
鶄	䴖	cheng	cheng
睜	睁	cheng	cheng
騬	騬	cheng	cheng
舂	舂	cheng	cheng
鄫	鄫	cheng	cheng
征	征	cheng	cheng
琤	琤	cheng	cheng
增	增	cheng	cheng
偵	侦	cheng	cheng
睛	睛	cheng	cheng
繒	缯	cheng	cheng
赬	赪	cheng	cheng
正	正	cheng	cheng
晶	晶	cheng	cheng
精	精	cheng	cheng
橧	橧	cheng	cheng
烝	烝	cheng	cheng
旌	旌	cheng	cheng
湞	浈	cheng	cheng
憎	憎	cheng	cheng
禎	祯	cheng	cheng
貞	贞	cheng	cheng
噌	噌	cheng	cheng
蒸	蒸	cheng	cheng
牲	牲	cheng	cheng
怔	怔	cheng	cheng
僧	僧	cheng	cheng
衝	冲	cheng	cheng
綪	綪	cheng	cheng
楨	桢	cheng	cheng
鐘	钟	cheng	cheng
姃	姃	cheng	cheng
猙	狰	cheng	cheng
箏	筝	cheng	cheng
蜻	蜻	cheng	cheng
脀	脀	cheng	cheng
爭	争	cheng	cheng
政	政	cheng	cheng
錚	铮	cheng	cheng
矰	矰	cheng	cheng
鬙	鬙	cheng	cheng
諍	诤	cheng	cheng
罾	罾	cheng	cheng
鼱	鼱	cheng	cheng
曾	曾	cheng	cheng
崢	峥	cheng	cheng
箵	箵	cheng	cheng
菁	菁	cheng	cheng
眐	眐	cheng	cheng
箐	箐	cheng	cheng
鉦	钲	cheng	cheng
甑	甑	cheng	cheng
鍾	钟	cheng	cheng
丼	丼	chéng	cheng2
井	井	chéng	cheng2
整	整	chéng	cheng2
煄	煄	chéng	cheng2
種	种	chéng	cheng2
殄	殄	chéng	cheng2
晸	晸	chéng	cheng2
腫	肿	chéng	cheng2
証	証	chèng	cheng3
掙	挣	chèng	cheng3
諍	诤	chèng	cheng3
種	种	chèng	cheng3
症	症	chèng	cheng3
證	证	chèng	cheng3
薦	荐	chèng	cheng3
正	正	chèng	cheng3
政	政	chèng	cheng3
眾	众	chèng	cheng3
眐	眐	chèng	cheng3
嶒	嶒	chêng	cheng5
晴	晴	chêng	cheng5
前	前	chêng	cheng5
曾	曾	chêng	cheng5
情	情	chêng	cheng5
層	层	chêng	cheng5
靖	靖	chēng	cheng7
蹭	蹭	chēng	cheng7
增	增	chēng	cheng7
繒	缯	chēng	cheng7
贈	赠	chēng	cheng7
阱	阱	chēng	cheng7
淨	净	chēng	cheng7
靜	静	chēng	cheng7
甑	甑	chēng	cheng7
凈	净	chēng	cheng7
睜	睁	chēng	cheng7
婧	婧	chēng	cheng7
竫	竫	chēng	cheng7
靚	靓	chēng	cheng7
汊	汊	chha	chha
扠	扠	chha	chha
差	差	chha	chha
叉	叉	chha	chha
嗏	嗏	chha	chha
艖	艖	chha	chha
溠	溠	chha	chha
杈	杈	chha	chha
岔	岔	chha	chha
茈	茈	chha	chha
蹉	蹉	chha	chha
吵	吵	chhá	chha2
炒	炒	chhá	chha2
鈔	钞	chhà	chha3
吵	吵	chhà	chha3
衩	衩	chhà	chha3
詫	诧	chhà	chha3
侘	侘	chhà	chha3
瘥	瘥	chhà	chha3
吒	咤	chhà	chha3
茶	茶	chhâ	chha5
荼	荼	chhâ	chha5
喍	喍	chhâ	chha5
查	查	chhâ	chha5
秅	秅	chhâ	chha5
柴	柴	chhâ	chha5
薪	薪	chhâ	chha5
材	材	chhâ	chha5
搽	搽	chhâ	chha5
吵	吵	chhā	chha7
插	插	chhah	chhah
鍤	锸	chhah	chhah
猜	猜	chhai	chhai
啋	啋	chhai	chhai
釵	钗	chhai	chhai
偲	偲	chhai	chhai
杈	杈	chhai	chhai
寀	寀	chhái	chhai2
跴	跴	chhái	chhai2
綵	綵	chhái	chhai2
采	采	chhái	chhai2
棌	棌	chhái	chhai2
彩	彩	chhái	chhai2
採	采	chhái	chhai2
睬	睬	chhái	chhai2
蔡	蔡	chhài	chhai3
菜	菜	chhài	chhai3
瘵	瘵	chhài	chhai3
埰	采	chhài	chhai3
蠆	虿	chhài	chhai3
縩	縩	chhài	chhai3
采	采	chhài	chhai3
豺	豺	chhâi	chhai5
財	财	chhâi	chhai5
材	材	chhâi	chhai5
才	才	chhâi	chhai5
纔	才	chhâi	chhai5
祡	祡	chhâi	chhai5
柴	柴	chhâi	chhai5
儕	侪	chhâi	chhai5
裁	裁	chhâi	chhai5
祀	祀	chhāi	chhai7
在	在	chhāi	chhai7
彩	彩	chháiⁿ	chhainn2
襯	衬	chhàiⁿ	chhainn3
鑿	凿	chha̍k	chhak8
墋	墋	chham	chham
摻	掺	chham	chham
驂	骖	chham	chham
參	参	chham	chham
嵾	嵾	chham	chham
欃	欃	chham	chham
憯	憯	chhám	chham2
噆	噆	chhám	chham2
慘	惨	chhám	chham2
黲	黪	chhám	chham2
朁	朁	chhám	chham2
磣	碜	chhám	chham2
讖	谶	chhàm	chham3
懺	忏	chhàm	chham3
蚕	蚕	chhâm	chham5
饞	馋	chhâm	chham5
劖	劖	chhâm	chham5
嶄	崭	chhâm	chham5
嚵	嚵	chhâm	chham5
欃	欃	chhâm	chham5
慚	惭	chhâm	chham5
獑	獑	chhâm	chham5
毚	毚	chhâm	chham5
儳	儳	chhâm	chham5
漸	渐	chhâm	chham5
讒	谗	chhâm	chham5
瀺	瀺	chhâm	chham5
攙	搀	chhâm	chham5
鑱	镵	chhâm	chham5
巉	巉	chhâm	chham5
蠶	蚕	chhâm	chham5
磛	磛	chhâm	chham5
潺	潺	chhan	chhan
僝	僝	chhan	chhan
